title,synopsis,type_,episodes,rating
B.B.S,,One-shot,-,-
B.C. Triangle,A comedic series (with occasional romance and adventure) set in the ancient age where humans still lived with dinosaurs.,Manga,3,-
B.Ichi,"Most normal humans use only 30% of their brains, but a group of people known as the ""Dokeshi"" can use 50 to 60% of their brains, and thus have special abilities. These powers, however, come with a pri...",Manga,4,6.83
B.O.D.Y.,"Everyone thinks 16-year-old Ryouko has weird taste in guys because she can't stop drooling over Ryuu, the strong silent type who sits next to her in class. When she discovers he works for a host club—...",Manga,15,7.50
B.Q The Mouse Book,,Manga,1,-
.hack//GU,"""The World"" is a massively multiplayer online game played by more than twelve million people across the globe. Within this virtual world Haseo, a PK (Player Killer), continues an endless fight. Everyt...",Light Novel,4,7.40
.hack//Link: Tasogare no Kishidan,"The story takes place in the year 2020, just three years after the events of .hack//G.U.. (The story will take place not only in the new version of ""The World"" known as ""The World R:X"", it is a popula...",Manga,3,7.02
.hack//Quantum I (introduction),,Manga,1,-
.hack//Quantum+,Will follow the story as written for the anime by Tachibana Masaki. (Source: Wikipedia),Manga,2,-
.hack//Quantum: Kokoro no Soushi,Side story to .hack//Quantum.,Light Novel,1,-
.hack//Sora: Sekai no Mukou ni,,Manga,1,-
.hack//Tasogare no Hibun,"Lara Hoerwick is visiting her uncle Harald, and starts playing a game on his computer while he is away. At first she is excited to find herself in the world of the Epitaph of Twilight, until she reali...",Light Novel,2,7.28
.hack//Tasogare no Udewa Densetsu,"Welcome to The World, the most advanced online game ever created. In The World you can be anyone you want to be, act out your adventure fantasies and through teamwork and determination, you can even b...",Manga,3,7.07
.hack//XXXX,"In .hack//Legend of the Twilight, Shugo and Rena were given the avatars of the famous dot hackers, Kite and BlackRose... Now learn how their legend was born! While playing in The World,the most succes...",Manga,2,7.19
.hack//Zero,"A novel series that tells the story of a Long Arm named Carl, of what happened to Sora after he was trapped in The World by Morganna, and of Tsukasa's real life after being able to log out from The Wo...",Light Novel,1,-
.traeH,"After being abandoned by first her father then her mother, Yuu has become a girl who refuses to get close to anyone. There is one girl, however, who won't leave Yuu alone. The energetic, popular Ayumu...",One-shot,-,6.19
B.Q The Roach Book,,Manga,1,-
B.Q. The Fly Book,"A new collection of exhilarating adventure by the king of underground manga! ""Bark at the moon"", the tale of a terrorist stealing a mysterious liquid from a passenger; ""Highway Romantic Vs. Sodomy Din...",Manga,1,-
B.S.S.²,,Doujinshi,1,-
B.S.S.M.,"A gentle and poignant story about two school friends Nao and Keima. After trying out some drugs out of curiosity, they ""accidentally"" take their relationship one step further. The lovable and carefree...",Manga,1,6.72
B5 Hime,,Manga,-,-
B: Brahms 20-sai no Tabiji,,Manga,3,-
Ba-thump Ba-thump Diary,From Mangaupdates: One day a young girl finds out that the boy she likes is going to transfer to a different school. The only one who knows how much she loves him is her diary.,Manhwa,-,6.72
Baba Yaga,"A mysterious disappearance of a girl happened at a camp held by an association for kids some years ago— Since then, the association didn't hold any action. And now, the association decided to hold an...",Manga,3,6.57
0 kara Hajimemashou,"Azumaya Kotori was a typical teenage girl who went to school, hung out with friends, and had a crush on a boy. Then, one day, she gets hit by a truck and dies, but her spirit still wanders this dimens...",Manga,2,-
0 kara Hajimeru Manga Kyoushitsu,"The story of a wealthy 'Ojou-sama' girl who wants to be a shoujo mangaka, and the strict and cool butler who helps teach her how to make manga. A collection of lessons about becoming a mangaka.",Manga,1,6.29
0 Man,"A baby found in the Indian hinterland is looked after by a Japanese man. He is named Ricky, and raised in Tokyo. But Ricky was born with a big tail: surprisingly, he belongs to another human race, the...",Manga,7,-
0 no Soukoushi,"Kanade has an exceptionally acute sense of smell which allows him to detect even the faintest aromas in the air around him. Together with his French cousin Anais, he follows those scents all the way t...",Manga,1,7.05
0 Pull Town Gakuen e Youkoso!: Minikui Ahiru no Monogatari,,Manga,1,-
0-kyori kara no Hatsukoi Moyou,,Light Novel,1,-
0.0 Mhz,"A group of young people tormented by ghosts join hands to find a scientific explanation for their paranormal experiences -- and a way out of them. In their desperate quest, they visit a haunted house...",Manhwa,-,-
0.000000001% Derenai Shiroi Neko,,Light Novel,2,-
0.2 Lux no Mahou no Shita de,,Light Novel,1,-
0/6,"At first glance Moolchi is just another shy, unassuming boy whose greatest talents are running away from bullies and binging on vitamin supplements. Then one day, seemingly out of the blue, Moolchi's...",Manhwa,5,5.75
007 Series,A series of manga adaptations of Ian Fleming's James Bond novels.,Manga,4,-
009 no 1,"Mylene Hoffman, a beautiful cyborg spy with the codename ""009-1"" lives in an alternative world where the cold war never ended, continuously on-going for 140 years. The world is split into two factions...",Manga,6,-
A Bewildering Flower,"Kyouko, a university student, is in love with her best friend Masumi, and is getting to the point where she can't stand it any more. Cue alcohol.",One-shot,-,5.85
009 Re:Cyborg,Manga adaptation of the movie 009 Re:Cyborg.,Manga,6,6.87
01,"The year is 2028, location in New Koshigaya. A young boy, Isurugi Neru, lives in a poor family and is forced to quit school so that he can find his own way in life. Neru on the other hand, only thinks...",Manga,3,6.14
01 Monkey,"Senke is a gloomy and shy man who's secretly in love with Masaharu, a mailman in the company he works for. His inability to confess to Masaharu leads him to lavish his love upon a Digital Monkey on hi...",Manga,1,5.48
018,,Manga,2,-
07-Ghost,Barsburg Empire's Military Academy has always been known for training the elite with potential to become superb soldiers who won't bring shame to the name of the empire. The students of the special pr...,Manga,17,7.95
07-Ghost Children,Collection of side stories from the manga 07-Ghost.,Manga,1,7.69
A Bias Girl,"The antics of two high school girls: Kim Peongyon and Choi Boa. Kim, aka ""Bias Girl,"" is a foul mouthed, overactive girl and idiot who has weird and strange biased ideas about people and things, and B...",Manhwa,2,6.73
A Bittersweet Life,"A collection of sweet stories about couples and singles, office workers and unemployed people. But be warned: there's more than a touch of bitterness here. (Source: Naver)",Manhwa,1,6.91
A Boy Who Fishes Dreams,"This one shot has won 3rd spot of Daewon manwha contest, and thus the author has a high(er) chance of being employed by Issue magazine. (Source: Sura's Place)",One-shot,-,6.61
A Cat and a Bird,"Jin Young is a good student with good grades, but she has a little bit of an unstable mind. Hye Jung is a cheerful girl who helps out at her mom's ""snack shop"", a sort of small restaurant that offers...",Manhwa,2,6.99
A Cat That Loved a Fish,The heartwarming story of two young people who love each other but can not be together. ,Manhwa,-,6.41
A Clockwork Ley-Line: Unmei no Mawaru Mori,A novel based off of the eroge Tokeijikake no Ley-Line.,Light Novel,1,-
A Course,,Manga,1,-
A Cup of...,1. A Cup of... 2. Shunshoku no Shouzou 3. *Blossom Season* 4. Aka Ito Reel 5. Poco a Poco,Manga,1,-
A Day In The Life,Included one-shot: Still Blue,Manga,1,6.56
A Day in the Typhoon,,One-shot,-,-
A Diffusion Disease,"Katsuhiko Tobe faces an odd dilemma. Losing control of his physical self, his body diffuses into nothingness as his disembodied consciousness flows throughout the world constantly contemplating both t...",Manga,2,7.07
T to Pantsu to Ii Hanashi,,Light Novel,3,-
A Fairytale for the Demon Lord,"There once was a princess who fell for a curse. Countless times have a knight come in vain attempts to save the poor princess. They all failed, killed by a demon. When a knight finally comes to defeat...",Manhwa,-,7.19
A Girls,"Kazao is happy with his life on Mirai (""Future"") Island. Sure, his parents abandoned him after he was born, leaving him to be raised at the orphanage-like facility, but his life is comfortable and has...",Manga,3,6.46
A Good Day to Be a Dog,"Schoolteacher Han Hana is afflicted with a certain family curse that has ruined every single one of her past relationships. The curse in question: whenever she kisses someone, she will turn into a dog...",Manhwa,9,7.89
A Good Day to Go Crazy,"Hosoo's uneventful days are spent caring for his sick younger sister, when TV star and singer Esau enters his life. The dazzling celeb had been laying low because a woman claiming to be his birth moth...",Manhwa,7,-
A Guide to Proper Dating,"Jung Ba-Reum has always been top of her life; everything from her college assignments to her workouts are perfectly planned and executed. However, there is one thing that has eluded Ba-Reum her whole...",Manhwa,-,-
A Is for April,,One-shot,-,6.73
T x S,"Koga Masataka and Terajima Ryuuji are homicide detectives working for the police department. behind the stoic facade, Koga is suffering from the pain of his past. When Terajima blatantly opens his hea...",Manga,2,7.23
T-Dragon,,Manga,10,-
T-Rex na Kanojo,"Humans and dinosaurs peacefully co-exist in our modern age. One night, Yuuma Asahikawa meets the feral t-rex, Churio. Follow the lives of (secret) ex-delinquent, Yuuma, and the very Cretaceous Churio...",Manga,2,7.01
T-sensei,,Manga,7,7.61
T.R.A.P.,"The Izanami High School soccer team is reeling after one of their own, Masaki, is killed unexpectedly in a traffic accident. It seems impossible to fill the gaping hole left in the team by Masaki's de...",Manga,6,7.20
A Kiss to the Prince,"Everyone always says to set high goals for oneself. Sei-Ann, an orphaned young lady who was raised in the care of a noblewoman, does just that when she decides she'll become the prince's bride. With a...",Manhwa,5,7.49
A la Carte,1. Kohrogi 2. NOIZ 3. dZi:s 4. X-connection2001,Manga,1,6.89
A Love Guard,It's about four people. A young police man who joined the force so he could beat people up legally. While he was on the join he messed up and was almost fired but instead was given the job of body gua...,Manhwa,9,-
A Love in 100 Days,"After an accident die, Ria become angels bring number 5623. She still can not forget things when alive day and night to remember Ban Ji Hwan, the earthly boyfriend. A year passed, that called Ria acci...",Manhwa,13,7.18
A Midsummer Night's Dream,"A collection of oneshots. 1st Story: Mountain Love - A story of a girl, who is under stress to get into a medical school and one day, falls in love with her doctor. 2nd Story: A Mermaid is Singing - A...",Manhua,1,6.65
T.S. I Love You...,"This series contains well drawn short stories about males, shemales and transvestites who are feeling interested in and attracted to each other, satisfying their curiosity in many different ways. (sou...",Manga,5,-
T.V. Eye,Three incredible short stories filled with some darkness and obscurity. T.V. Eye - Meet Isao and his crew of mischievous mistaken group of friends who are obsessed with their refrigerator and a TV tha...,Manga,1,-
Ta Ju Mu,Kazuhiro finds in his bed a body of a middle aged man. He decides to get rid of the questions arising in his head by disposing of the body.,Light Novel,1,7.05
Tabako-chan,"Asano is a hardworking employee, but has a deep-seated smoking habit. Whether it is under the pretext of being busy with work, or just having some time to spare, he can be found with a cigarette in ha...",Manga,2,6.60
Tabe-bu ni Ii ne!,"After seeing her face while eating, Maeda is asked to join the eating club. The club president, Ichiya, is the most popular guy in school and the person she likes. So, Maeda decides to join believing...",Manga,1,-
A My Sweets,,Manga,1,-
A or ABC,"A sweet volleyball romance! Ayumu is a gay high school student whose motto is, ""I like cute and pretty boys."" (He himself is cute and pretty, after all!) But despite such a flippant motto, he is actua...",Manga,2,6.87
A Place in the Sun,"Happy-go-lucky Midori may be small in stature, but his upbeat attitude and cheerful disposition make him a shining star who's head-and-shoulders above his co-workers at the plant-rental company! But h...",Manga,1,-
